time,city,accumulated_confirmed,accumulated_death,accumulated_recovered,new_confirmed,new_death,new_recovered
2020-01-26,广州,39,0,0,25,0,0
2020-01-26,深圳,36,0,0,9,0,0
2020-01-26,珠海,12,0,0,2,0,0
2020-01-26,中山,4,0,0,2,0,0
2020-01-26,佛山,14,0,0,4,0,0
2020-01-26,东莞,2,0,0,0,0,0
2020-01-26,惠州,8,0,0,0,0,0
2020-01-26,肇庆,4,0,0,0,0,0
2020-01-26,汕头,2,0,0,0,0,0
2020-01-26,汕尾,1,0,0,1,0,0
2020-01-26,揭阳,3,0,0,0,0,0
2020-01-26,韶关,4,0,0,1,0,0
2020-01-26,清远,3,0,0,0,0,0
2020-01-26,梅州,1,0,0,1,0,0
2020-01-26,湛江,5,0,0,1,0,0
2020-01-26,阳江,8,0,0,2,0,0
2020-01-27,广州,51,0,0,12,0,0
2020-01-27,深圳,49,0,0,13,0,0
2020-01-27,珠海,12,0,0,0,0,0
2020-01-27,中山,6,0,0,2,0,0
2020-01-27,佛山,18,0,0,4,0,0
2020-01-27,东莞,2,0,0,0,0,0
2020-01-27,惠州,11,0,0,3,0,0
2020-01-27,肇庆,4,0,0,0,0,0
2020-01-27,汕头,5,0,0,3,0,0
2020-01-27,汕尾,1,0,0,0,0,0
2020-01-27,揭阳,4,0,0,1,0,0
2020-01-27,韶关,4,0,0,0,0,0
2020-01-27,清远,5,0,0,2,0,0
2020-01-27,梅州,3,0,0,2,0,0
2020-01-27,湛江,5,0,0,0,0,0
2020-01-27,阳江,8,0,0,0,0,0
2020-01-28,广州,63,0,0,12,0,0
2020-01-28,深圳,63,0,0,14,0,0
2020-01-28,珠海,14,0,0,2,0,0
2020-01-28,中山,12,0,0,6,0,0
2020-01-28,佛山,18,0,0,0,0,0
2020-01-28,东莞,7,0,0,5,0,0
2020-01-28,惠州,12,0,0,1,0,0
2020-01-28,肇庆,5,0,0,1,0,0
2020-01-28,汕头,6,0,0,1,0,0
2020-01-28,汕尾,1,0,0,0,0,0
2020-01-28,揭阳,6,0,0,2,0,0
2020-01-28,韶关,4,0,0,0,0,0
2020-01-28,清远,6,0,0,1,0,0
2020-01-28,梅州,4,0,0,1,0,0
2020-01-28,河源,1,0,0,1,0,0
2020-01-28,湛江,7,0,0,2,0,0
2020-01-28,茂名,2,0,0,2,0,0
2020-01-28,阳江,10,0,0,2,0,0
2020-01-29,广州,79,0,0,16,0,0
2020-01-29,深圳,86,0,0,23,0,0
2020-01-29,珠海,18,0,0,4,0,0
2020-01-29,中山,16,0,0,4,0,0
2020-01-29,佛山,25,0,0,7,0,0
2020-01-29,东莞,7,0,0,0,0,0
2020-01-29,惠州,17,0,0,5,0,0
2020-01-29,江门,1,0,0,1,0,0
2020-01-29,肇庆,5,0,0,0,0,0
2020-01-29,汕头,12,0,0,6,0,0
2020-01-29,汕尾,1,0,0,0,0,0
2020-01-29,揭阳,6,0,0,0,0,0
2020-01-29,韶关,4,0,0,0,0,0
2020-01-29,清远,6,0,0,0,0,0
2020-01-29,梅州,5,0,0,1,0,0
2020-01-29,河源,1,0,0,0,0,0
2020-01-29,湛江,9,0,0,2,0,0
2020-01-29,茂名,3,0,0,1,0,0
2020-01-29,阳江,10,0,0,0,0,0
2020-01-30,广州,106,0,0,27,0,0
2020-01-30,深圳,110,0,0,24,0,0
2020-01-30,珠海,26,0,0,8,0,0
2020-01-30,中山,18,0,0,2,0,0
2020-01-30,佛山,32,0,0,7,0,0
2020-01-30,东莞,16,0,0,9,0,0
2020-01-30,惠州,17,0,0,0,0,0
2020-01-30,江门,1,0,0,0,0,0
2020-01-30,肇庆,6,0,0,1,0,0
2020-01-30,汕头,12,0,0,0,0,0
2020-01-30,汕尾,3,0,0,2,0,0
2020-01-30,揭阳,6,0,0,0,0,0
2020-01-30,韶关,4,0,0,0,0,0
2020-01-30,清远,6,0,0,0,0,0
2020-01-30,梅州,5,0,0,0,0,0
2020-01-30,河源,1,0,0,0,0,0
2020-01-30,湛江,11,0,0,2,0,0
2020-01-30,茂名,3,0,0,0,0,0
2020-01-30,阳江,10,0,0,0,0,0
2020-01-31,广州,137,0,0,31,0,0
2020-01-31,深圳,170,0,0,60,0,0
2020-01-31,珠海,38,0,0,12,0,0
2020-01-31,中山,18,0,0,0,0,0
2020-01-31,佛山,38,0,0,6,0,0
2020-01-31,东莞,21,0,0,5,0,0
2020-01-31,惠州,20,0,0,3,0,0
2020-01-31,江门,3,0,0,2,0,0
2020-01-31,肇庆,6,0,0,0,0,0
2020-01-31,汕头,14,0,0,2,0,0
2020-01-31,汕尾,4,0,0,1,0,0
2020-01-31,潮州,3,0,0,3,0,0
2020-01-31,揭阳,6,0,0,0,0,0
2020-01-31,韶关,4,0,0,0,0,0
2020-01-31,清远,6,0,0,0,0,0
2020-01-31,梅州,5,0,0,0,0,0
2020-01-31,河源,1,0,0,0,0,0
2020-01-31,湛江,13,0,0,2,0,0
2020-01-31,茂名,3,0,0,0,0,0
2020-01-31,阳江,10,0,0,0,0,0
2020-02-01,广州,175,0,0,38,0,0
2020-02-01,深圳,196,0,0,26,0,0
2020-02-01,珠海,41,0,0,3,0,0
2020-02-01,中山,21,0,0,3,0,0
2020-02-01,佛山,39,0,0,1,0,0
2020-02-01,东莞,27,0,0,6,0,0
2020-02-01,惠州,23,0,0,3,0,0
2020-02-01,江门,3,0,0,0,0,0
2020-02-01,肇庆,7,0,0,1,0,0
2020-02-01,汕头,14,0,0,0,0,0
2020-02-01,汕尾,4,0,0,0,0,0
2020-02-01,潮州,3,0,0,0,0,0
2020-02-01,揭阳,6,0,0,0,0,0
2020-02-01,韶关,5,0,0,1,0,0
2020-02-01,清远,6,0,0,0,0,0
2020-02-01,梅州,6,0,0,1,0,0
2020-02-01,河源,1,0,0,0,0,0
2020-02-01,湛江,14,0,0,1,0,0
2020-02-01,茂名,3,0,0,0,0,0
2020-02-01,阳江,10,0,0,0,0,0
2020-02-02,广州,189,0,0,14,0,0
2020-02-02,深圳,226,0,0,30,0,0
2020-02-02,珠海,51,0,0,10,0,0
2020-02-02,中山,25,0,0,4,0,0
2020-02-02,佛山,43,0,0,4,0,0
2020-02-02,东莞,31,0,0,4,0,0
2020-02-02,惠州,28,0,0,5,0,0
2020-02-02,江门,4,0,0,1,0,0
2020-02-02,肇庆,7,0,0,0,0,0
2020-02-02,汕头,17,0,0,3,0,0
2020-02-02,汕尾,5,0,0,1,0,0
2020-02-02,潮州,4,0,0,1,0,0
2020-02-02,揭阳,6,0,0,0,0,0
2020-02-02,韶关,5,0,0,0,0,0
2020-02-02,清远,6,0,0,0,0,0
2020-02-02,梅州,7,0,0,1,0,0
2020-02-02,河源,1,0,0,0,0,0
2020-02-02,湛江,14,0,0,0,0,0
2020-02-02,茂名,4,0,0,1,0,0
2020-02-02,阳江,10,0,0,0,0,0
2020-02-03,广州,216,0,0,27,0,0
2020-02-03,深圳,269,0,0,43,0,0
2020-02-03,珠海,64,0,0,13,0,0
2020-02-03,中山,31,0,0,6,0,0
2020-02-03,佛山,46,0,0,3,0,0
2020-02-03,东莞,37,0,0,6,0,0
2020-02-03,惠州,29,0,0,1,0,0
2020-02-03,江门,6,0,0,2,0,0
2020-02-03,肇庆,10,0,0,3,0,0
2020-02-03,汕头,18,0,0,1,0,0
2020-02-03,汕尾,5,0,0,0,0,0
2020-02-03,潮州,4,0,0,0,0,0
2020-02-03,揭阳,6,0,0,0,0,0
2020-02-03,韶关,6,0,0,1,0,0
2020-02-03,清远,8,0,0,2,0,0
2020-02-03,梅州,9,0,0,2,0,0
2020-02-03,河源,1,0,0,0,0,0
2020-02-03,湛江,15,0,0,1,0,0
2020-02-03,茂名,5,0,0,1,0,0
2020-02-03,阳江,12,0,0,2,0,0
